load_factor,bin_capacity,num_bins,average,stddev
1,1,100000,36791.1,90.4589
1,2,50000,27061.9,91.2813
1,4,25000,19538.9,94.5336
1,6,16666,16055.7,102.191
1,8,12500,13949.5,84.5764
1,12,8333,11426.7,107.64
1,16,6250,9912.41,104.583
1,24,4166,8126.64,108.13
1,32,3125,7023.52,87.5472
1,48,2083,5760.75,94.64
1,64,1562,4989.39,92.907
0.95,1,105263,35460.1,105.604
0.95,2,52631,25443.5,106.59
0.95,4,26315,17683.7,103.207
0.95,6,17543,14129.4,84.5607
0.95,8,13157,11960.9,101.105
0.95,12,8771,9382.52,93.8318
0.95,16,6578,7839.03,89.2044
0.95,24,4385,6045.82,93.6768
0.95,32,3289,4958.71,88.1542
0.95,48,2192,3699.53,90.8317
0.95,64,1644,2951.3,74.7732
0.9,1,111111,34070.7,118.994
0.9,2,55555,23781.5,100.053
0.9,4,27777,15856.7,94.2827
0.9,6,18518,12248,92.3282
0.9,8,13888,10072.3,90.3304
0.9,12,9259,7501.77,88.8998
0.9,16,6944,5984.28,93.4951
0.9,24,4629,4263.46,86.9039
0.9,32,3472,3260.4,84.7954
0.9,48,2314,2138.99,82.444
0.9,64,1736,1537.93,69.5461
0.8,1,125000,31173,109.276
0.8,2,62500,20447.5,103.995
0.8,4,31250,12320,102.24
0.8,6,20833,8764.04,81.8074
0.8,8,15625,6686.9,81.8581
0.8,12,10416,4358.22,79.3333
0.8,16,7812,3088.52,70.3385
0.8,24,5208,1765.64,65.4884
0.8,32,3906,1108.34,56.3656
0.8,48,2604,498.96,40.5763
0.8,64,1953,251.67,36.3503
